Order ID|Description|Partcode|Date|Qty|Unit|Value
88325|Plummer housing by SKF with 2100 mm bolt hole and 700 mm in height|se511609k7|3/1/2019|14|ft|745.78
22652|block housing, 70mm high, 210 mm bolthole, 5.5 kg, from SKF|se509|1/2/2019|11|Ea|316.58
74606|block housing with center bolt distance 150 mm, weight 2.50 kg, and 60mm height|SKF SE510608|4/15/2019|2|Ea|6.76
84720|Plummer block housing with blot hole distance 130 mm and center height 50 mm - SKF is the supplier|se 511 609|8/18/2018|15|Ea|1228.65
34093|SKF block housing with bolt-hole centre deistance of 120mm, bentre height 40mm, wt 2 kg|se 13 611|9/9/2018|1|ft|30.42
18132|Needle bearing by NKX, 110 MM bolt-hole centr distance, height 30 mm, weight 1.83 kg|NKX 15z|7/4/2018|7|Ea|377.65
19720|Needle roller brng, bd di 15mm, enveloping circle di 15mm, outer 24, 1/2 kg , width of outer ring: 23 mm|SKF-NKX 30|12/15/2018|11|ft|342.43
80438|INA brand needle rllr brng, bore 30, outer diameter 42 mm, outer ring 30|nkx40 z|3/22/2019|1|each|4.48
36195|needle bearing by ina with outer di 12 and outer ring 20, bore 40mm, .128 kg|nkx 50z|8/8/2018|4|Ea|341.8
25300|Skf radial round bearing with bore di 50 mm, outer, 52 mm, envelope diameter 50mm, .1278 kg and outer ring is 50 mm around|SKF ge 10c|8/28/2018|7|Ea|675.01
93341|SKF plan spherical bearing, bore diameter 100 mm, net wt 4.142 kg, outer 150mm, inner 70mm, type ge|ge 100es|9/23/2018|6|ea|181.02
60642|Radial bearings with bore dm 80 MM, 2 KG , 130 mm outer diam, type GE level1, inner width 50 mm|GE 100TXA 2LS SKF|12/25/2018|11|Ea|949.74
38244|SKF 51140 M thrust bearing|51140|10/21/2018|5|Ea|201.65
25027|2400 rpm clockwise Parker gear pump with flange mounting, 198.4 x 128.2, 50.77 rectangle, working pressure 190 , 90 (cc per rev) ||1/21/2019|16|Pack|1515.84
48310|70 cc displacement gear pump by Parker Hanfin with clockwise flange mountin 98.4 x 128.2, rectangular, mwp 160 , 2400 rpm||2/11/2019|-6|pk|-159.3
70859|Parker Hannifin cw gear pump, flange mount, 23 cc displacement, 98.4x128.2, 250 pressure bar, 3300 rpm||8/31/2018|1|each|31.75
54098|Hill clockwise transfer pump, flange mount, 3100 rpm,  28 cc displacement, 98.4x128.2, 250 pressure bar|p925 AAA|3/31/2019|10|Ea|101
42784|Oil Safe Pump|102000|4/19/2019|13|Ea|362.96
55952|1/4 connector, 1500 mm long, 3.5 kg hyd pump by SKF (72914)|72914|11/18/2018|16|Ea|1274.24
